"alpha","Brange","LNB","RNB","BiomeH","gnw"
"acfl",0.886363636363636,0.772727272727273,0.704545454545455,0.772727272727273,0.931818181818182
"amcr",0.204545454545455,0.613636363636364,0.272727272727273,0.386363636363636,0.318181818181818
"amgo",0.409090909090909,0.840909090909091,0.75,0.522727272727273,0.704545454545455
"amro",0.0227272727272727,0.0909090909090909,0.613636363636364,0.181818181818182,0.113636363636364
"baor",0.75,0.340909090909091,0.931818181818182,0.931818181818182,0.863636363636364
"bars",0.136363636363636,0.931818181818182,0.159090909090909,0.0681818181818182,0.181818181818182
"blja",0.5,0.545454545454545,0.25,0.636363636363636,0.568181818181818
"bggn",0.522727272727273,0.75,0.0227272727272727,0.159090909090909,0.295454545454545
"brth",0.613636363636364,0.454545454545455,0.295454545454545,0.727272727272727,0.613636363636364
"bhco",0.25,0.636363636363636,0.431818181818182,0.0454545454545454,0.227272727272727
"cach",0.954545454545455,0.704545454545455,0.727272727272727,0.681818181818182,0.909090909090909
"carw",0.840909090909091,0,0.545454545454545,0.659090909090909,0.590909090909091
"cedw",0.431818181818182,0.977272727272727,0.840909090909091,0.431818181818182,0.772727272727273
"chsp",0.0909090909090909,0.227272727272727,0.5,0.113636363636364,0.136363636363636
"cogr",0.363636363636364,0.886363636363636,0.681818181818182,0.590909090909091,0.704545454545455
"coye",0.227272727272727,0.295454545454545,0.818181818181818,0.295454545454545,0.363636363636364
"dowo",0.159090909090909,0.204545454545455,0.0681818181818182,0.272727272727273,0.0681818181818182
"eabl",0.636363636363636,0.818181818181818,0.477272727272727,0.613636363636364,0.75
"eato",0.863636363636364,0.363636363636364,0.227272727272727,0.909090909090909,0.659090909090909
"tuti",0.909090909090909,0.181818181818182,0.522727272727273,0.863636363636364,0.681818181818182
"eawp",0.772727272727273,0.272727272727273,0.795454545454545,0.886363636363636,0.818181818181818
"ficr",0.977272727272727,0.909090909090909,0.568181818181818,0.840909090909091,0.977272727272727
"grca",0.477272727272727,0.431818181818182,0.909090909090909,0.545454545454545,0.636363636363636
"gcfl",0.681818181818182,0.25,0.0454545454545454,0.704545454545455,0.454545454545455
"hawo",0.113636363636364,0.590909090909091,0.454545454545455,0.204545454545455,0.25
"hofi",0.386363636363636,0.954545454545455,0.204545454545455,0,0.340909090909091
"howr",0,0.477272727272727,0.181818181818182,0.340909090909091,0.159090909090909
"inbu",0.568181818181818,0.0454545454545454,0.636363636363636,0.454545454545455,0.477272727272727
"modo",0.272727272727273,0.136363636363636,0.113636363636364,0.0909090909090909,0.0227272727272727
"noca",0.590909090909091,0.0227272727272727,0.409090909090909,0.409090909090909,0.272727272727273
"nomo",0.318181818181818,0.113636363636364,0.318181818181818,0.0227272727272727,0.0909090909090909
"nopa",0.818181818181818,0.681818181818182,0.386363636363636,0.795454545454545,0.772727272727273
"oror",0.727272727272727,0.409090909090909,0.136363636363636,0.568181818181818,0.545454545454545
"oven",0.659090909090909,0.659090909090909,0.886363636363636,0.818181818181818,0.886363636363636
"piwo",0.545454545454545,0.522727272727273,0.0909090909090909,0.477272727272727,0.363636363636364
"rbnu",0.454545454545455,0.568181818181818,0.340909090909091,0.363636363636364,0.5
"revi",0.181818181818182,0.159090909090909,0.954545454545455,0.5,0.522727272727273
"rwbl",0.0681818181818182,0.863636363636364,0.590909090909091,0.136363636363636,0.409090909090909
"rthu",0.704545454545455,0.5,0.772727272727273,0.75,0.840909090909091
"scta",0.931818181818182,0.386363636363636,0.977272727272727,0.977272727272727,0.954545454545455
"sosp",0.295454545454545,0.0681818181818182,0.659090909090909,0.318181818181818,0.204545454545455
"wbnu",0.340909090909091,0.727272727272727,0.363636363636364,0.227272727272727,0.409090909090909
"woth",0.795454545454545,0.795454545454545,0.863636363636364,0.954545454545455,1
"ysfl",0.0454545454545454,0.318181818181818,0,0.25,0.0227272727272727
